Name,Action_rgb,Romance_rgb,Drama_rgb,Horror_rgb,Action,Drama,Horror,Romance,Action_audio,Romance_audio,Drama_audio,Horror_audio,Label
Alpha & Omega Trailer,29.04148698,2.265115082,59.44198966,9.251410514,61.44026518,17.84583032,4.833722487,15.88018388,7.753540576,48.61225188,40.9044981,2.729719877,0
22 JUMP STREET Trailer (2014),10.34273356,30.30045927,35.32747328,24.02933836,76.89630985,4.140659794,6.521467119,12.4415569,37.43127584,26.95129514,26.16265118,9.454776347,0
Edge of Tomorrow - Official Trailer 1 [HD],26.86270177,4.375283048,27.98990607,40.77211022,49.09615219,4.009389505,10.1880841,36.70636714,36.3031745,18.09166968,21.99383378,23.61132056,0
Dawn of the Planet of the Apes  Official Trailer [HD]  PLANET OF THE APES,33.11103284,2.140474506,31.45182431,33.29666257,4.65050675,9.97101143,80.33700585,5.041470751,46.49406075,10.09866074,24.40980524,18.99748147,0
Colombiana - Trailer,33.94286633,5.730945989,57.26953745,3.056646511,12.14739457,35.08219719,0.841213949,51.92919374,36.40509248,4.769037291,9.012931585,49.81294274,0
"Detention Of The Dead TRAILER 1 (2013) - Jacob Zachar, Christa B",35.43674052,5.054846406,55.5449605,3.963452578,42.06202626,15.43824524,1.9635709,40.53615928,60.85122824,2.778847516,34.41915512,1.950778253,0
"Cloud Atlas Extended Trailer #1 (2012) - Tom Hanks, Halle Berry, Wachowski Movie HD",0,0,0,0,0,0,0,0,19.66926903,39.03475702,34.69208777,6.603886187,0
"BRAKE Movie Trailer (Stephen Dorff, Terrorism Thriller)",23.00738543,14.17759061,46.40115201,16.41387641,21.45934254,14.93398994,59.22858715,4.378075898,42.92440712,16.90012068,24.19285029,15.98261148,0
30 Minutes or Less Trailer - In Theaters 812,24.80963618,5.453132838,65.12084603,4.616380855,67.68863201,17.83449799,3.749031574,10.72783545,28.47053409,26.69455111,28.46559882,16.36931598,0
Contagion (2011) Official Exclusive 1080p HD Trailer,27.04997659,6.909091771,63.17160726,2.869323269,12.52135336,55.99916577,12.8653124,18.61416399,44.33864951,21.07373923,20.48148066,14.10612762,0
After Earth Official Trailer #1 (2013) - Will Smith Movie HD,28.15356255,8.46375674,36.5930289,26.78965628,27.20249891,9.057807177,10.34255475,53.39714289,41.05606973,21.24273777,18.2549417,19.44625378,0
